title;DOI;task;type;max component;max coordinative;max dynamic;assigend risk;assigned expertise;proxy or actual;risk;required expertise;justification;year
Co-design and evaluation of an intelligent decision support system for stroke rehabilitaiton assesment;https://doi.org/10.1145/3415227;storke rehabilitation assessment - testing storke patients unaffected or affected;binary;25;60;0;1;1;actual;not mentioned;therapists;yes;2020
Explaining decision making algorithms through UI: strategies to help non-expert stakeholders;https://doi.org/10.1145/3290605.3300789;student admission domain;binary;17;20;32768;1;1;proxy;not mentioned;non-experts;somehow;2019
Assessing the impact of automated suggestions on decision making: domain experts mediate model errors but take less initiative;https://doi.org/10.1145/3411764.3445522;clinical text annotation;recoms;15;-1;-1;1;1;actual;low;clinical domain experts;yes;2021
What can AI do for me? evaluating machine learning interpretations in cooperative play;https://doi.org/10.1145/3301275.3302265;question answering task - game;multi;5;160;0;0;0;actual;not mentioned;experts and laypeople;yes;2019
Effect of information presentation on fairness perceptions of machine learning predictors;https://doi.org/10.1145/3411764.3445365;recidivism & loan approval;binary;132;10;0;1;1;proxy;not mentioned;not mentioned;no;2021
Do I look like a criminal? examining how race presentation impacts human judgement of recidivism;https://doi.org/10.1145/3313831.3376257;recidivism prediction;binary;11;50;0;1;1;actual;not mentioned;recidivism is a complex criminal justice process tha requires expert knowledge;somehow;2020
The effects of example-based explanation in a machine learning interface;https://doi.org/10.1145/3301275.3302289;sketch recognition in quickdraw;binary;4;6;0;0;0;proxy;low;not mentioned;somehow;2019
Human-centered tools for coping with imperfect algorithms during medical decision-making;https://doi.org/10.1145/3290605.3300234;image retrieval system for medical decision making;retrieval;14;6;1023;1;1;actual;not mentioned;pathologist;yes;2019
Understanding the effect of accuracy on trust in machine learning models;https://doi.org/10.1145/3290605.3300509;speed dating event prediction;binary;24;80;40;0;0;actual;not mentioned;predicting romantic interrest doesn not require specialized domain expertise;yes;2019
No explainability without accountability: an empirical study on explantions and feedback in interactive ML;https://doi.org/10.1145/3313831.3376624;text classification prediction - check boss email inbox whethe contain hockey or baseball;binary;3;64;0;0;0;proxy and actual;not mentioned;laypeople;somehow;2020
A slow algorithm improves users assessment of the algorithms accuracy;https://doi.org/10.1145/3359204;calculate the number of jelly beans in jars;other;2;10;5;0;0;actual;low;laypeople;yes;2019
What you see is what you get? the impact of representation criteria on human bias in hiring;https://doi.org/10.48550/arXiv.1909.03567;hiring people - rank top 4 from the list of 8 candidates;other;5;24;0;1;1;actual;not mentioned;not mentioned;somehow;2019
Visual, textual or hybrid: the effect of user expertise on different explanations;https://doi.org/10.1145/3397481.3450662;news reading time prediction;regression;35;4;0;0;0;proxy;not mentioned;expert and lay users;no;2021
Why is Chicago deceptive? towards building model-driven tutorials for humans ;https://dx.doi.org/10.1145/3313831.3376873;deceptive review detection: deception is defined as an act that is intended to foster in another person a be- lief or understanding which the deceiver considers false;binary;6;20;0;0;0;actual;not mentioned;mechanical turkers can provide a reasonable proxy for humans facing this challenge compared to other tasks such as bail decisions and medical diagnosis that require domain ex- pertise;somehow;2020
Evaluating saliency map explanations for convolutional neural networks: a user study;https://doi.org/10.1145/3377325.3377519;image classification;binary;3;12;0;0;0;proxy;not mentioned;not mentioned;somehow;2020
How do visual explanations foster end users' appropriate trust in machine learning?;https://doi.org/10.1145/3377325.3377480;leaf classification;multi;5;216;0;0;1;actual;not mentioned;experts;;2020
Shared Interest: Measuring Human-AI Alignment to Identify Recurring Patterns in Model Behavior;https://doi.org/10.1145/3491102.3501965;melanoma classification task, sentiment regression on text reviews, multi-class image classification;multi;12;-1;15;1;1;proxy;high;dermatologist, machine learning expert, laypeople;no;2022
Q-Chef: The impact of surprise-eliciting systems on food-related decision-making;https://doi.org/10.1145/3491102.3501862;recipe recommendation system;recoms;2;51;0;0;0;actual;not metioned;different level of expertise;no;2022
Improving Human-AI Partnerships in Child Welfare: Understanding Worker Practices, Challenges, and Desires for Algorithmic Decision Support;https://doi.org/10.1145/3491102.3517439;child maltreatment screening decision;binary;5;32;0;1;1;actual;high;experts;somehow;2022
Human-AI Collaboration via Conditional Delegation: A Case Study of Content Moderation;https://doi.org/10.1145/3491102.3501999;moderating social media comments;binary;5;10;-1000;0;0;actual;low;social media content moderation is often performed by part-time volunteers whose expertise varies;no;2022
Understanding the impact of explanations on advice-taking: a user study for AI-based clinical Decision Support Systems;https://doi.org/10.1145/3491102.3502104;clinical decision making;binary ;7;4;2;1;1;actual;high ;healthcare providers ;no;2022
Capable but Amoral? Comparing AI and Human Expert Collaboration in Ethical Decision Making;https://doi.org/10.1145/3491102.3517732;the task either involves minimizing casualties (defence domain) vs. maximizing lives saved (search and rescue domain);multi;8;8;-1;1;1;actual;high;not mentioned;yes ;2022
AI-Moderated Decision-Making: Capturing and Balancing Anchoring Bias in Sequential Decision Tasks;https://doi.org/10.1145/3491102.3517443;product reviews;binary;2;50;0;0;0;actual;high-low college: high, product:low;college: academic reviewer;somehow;2022
How Child Welfare Workers Reduce Racial Disparities in Algorithmic Decisions;https://doi.org/10.1145/3491102.3501831;child welfare screening;binary;5;-1;0;1;1;proxy;high;experts;no;2022
You Complete Me: Human-AI Teams and Complementary Expertise;https://dl.acm.org/doi/10.1145/3491102.3517791;shape identification task;multi;6;84;42;0;0;actual;not mentioned;expert in detection of real shape;yes;2022
For What It’s Worth: Humans Overwrite Their Economic Self-interest to Avoid Bargaining With AI Systems;https://doi.org/10.1145/3491102.3517734;two-player ultimatum bargaining where responders choose to bargain with either another human, another human with an AI de- cision aid or an autonomous AI-system acting on behalf of a passive human proposer;multi;3;1;0;0;0;actual;not mentioned;not mentioned;somehow;2022
Exploring the Effects of Machine Learning Literacy Interventions on Laypeople’s Reliance on Machine Learning Models;https://doi.org/10.1145/3490099.3511121;house price prediction;regression;12;40;10;1;1;actual;not mentioned;not mentioned;no;2022
Do People Engage Cognitively with AI? Impact of AI Assistance on Incidental Learning;https://doi.org/10.1145/3490099.3511138;nutritional decision making: decide which of two meals shown was a greater source of a specified macronutrient;binary;4;48;24;0;1;actual;low;not mentioned;no;2022
Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance;http://erichorvitz.com/gbansal-hcomp19.pdf;the task of human subjects is to decide whether or not the objects going over the pipeline are defective;binary;6;-1;-1;1;0;actual;high-low   As in high-stakes de- cisions, workers get 4 cents if they accept Marvin when it is correct, and lose 16 cents if they accept Marvin when wrong.;This abstracts away human expertise in problem solving so the focus remains on the ability to learn the error boundary;no;2019
I can do better than your AI: expertise and explanations;https://doi.org/10.1145/3301275.3302308;Diner’s Dilemma, several diners eat out at a restaurant, repeatedly over an unspecified number of days, with the agreement to split the bill equally each time. Each diner has the choice to order the inexpensive dish (hotdog) or the expensive dish (lobster). Diners receive a better dining experience (here, quantified as dining points) when everyone chooses the inexpensive dish compared to when everyone chooses the expensive dish.two players decide to take an action (cooperate or defect) without communication beforehand, where defection leads to a higher outcome for an individual regardless of the other players actions, but with mutual cooperation leading to a higher outcome than mutual defection.;binary;14;50;-1;0;0;actual;low;measure this variable;yes;2019
Conceptual Metaphors Impact Perceptions of Human-AI Collaboration;https://doi.org/10.1145/3415234;customer service chatbots in travel planning;recoms;5;-1;-1;0;0;actual;not mentioned;;yes;2020
A Human-Centered Evaluation of a Deep Learning System Deployed in Clinics for the Detection of Diabetic Retinopathy;https://doi.org/10.1145/3313831.3376718;diabetic eye disease detection - AI  recommendation for whether or not the patient should be referred to an ophthalmologist;binary;6;1;0;1;1;actual;high;clinician team;yes;2020
Trust in AutoML: exploring information needs for establishing trust in automated machine learning systems;https://doi.org/10.1145/3377325.3377501;commercial autoML- loan application;retrieval;30;2;0;1;1;proxy;high;data scientist;yes;2020
Vis Ex Machina: An Analysis of Trust in Human versus Algorithmically Generated Visualization Recommendations;https://doi.org/10.1145/3411764.3445195;visualization of features in movie recommendation;recoms;28;1;0;0;0;proxy;not mentioned;with baseline data analysis;yes;2021
Decision Making Strategies Differ in the Presence of Collaborative Explanations: Two Conjoint Studies;https://doi.org/10.1145/3301275.3302304;tourism inspired decision making task;binary;7;3;0;0;0;actual;not mentioned;not mentioned;no;2019
Jury Learning: Integrating Dissenting Voices into Machine Learning Models;https://doi.org/10.1145/3491102.3502004;toxicity detection in the content moderation setting;multi;13;5;4;0;0;actual;not mentioned;content moderators & platform users;no;2022
What is Your Current Mindset?;https://doi.org/10.1145/3491102.3501912;place/event location-based recommendation ;recoms;12;2;0;0;0;actual;not mentioned;experienced with facebook, instagram, google maps;no;2022
User Trust in Recommendation Systems: A comparison of Content-Based, Collaborative and Demographic Filtering;https://doi.org/10.1145/3491102.3501936;movie recommender system;recoms;4;15;0;0;0;proxy;low;not mentioned;no;2022
Improving understandability of feature contributions in model-agnostic explainable AI tools;https://doi.org/10.1145/3491102.3517650;loan applications, music recommendation;recoms;31;24;0;0;0;proxy;not mentioned;not mentioned;no;2022
Impacts of Personal Characteristics on User Trust in Conversational Recommender Systems;https://doi.org/10.1145/3491102.3517471;conversational music recommender system;recoms;4;25;-1000;0;0;actual;not mentioned;not mentioned;yes;2022
Building Trust in Interactive Machine Learning via User Contributed Interpretable Rules;https://doi.org/10.1145/3490099.3511111;tic-tac-toe game;binary;6;10;0;0;0;proxy;not mentioned;not mentioned;no;2022
Play for Real(ism) - Using Games to Predict Human-AI interactions in the Real World;https://doi.org/10.1145/3474655;TGI launch day game: players take on the role of a security analyst at a software company and are tasked with fielding user requests for approval to run different software on company computers;binary;7;8;0;1;1;actual;high-low;familiarity with AI decision-making is included;yes;2021
Human Perceptions on Moral Responsibility of AI: A Case Study in AI-Assisted Bail Decision-Making;https://doi.org/10.1145/3411764.3445260;bail decision making ;binary;-1;8;0;1;1;proxy;high;not mentioned;no;2021
Mesh: Scaffolding Comparison Tables for Online Decision Making;https://doi.org/10.1145/3379337.3415865;purchasing decision - coffee machine, vaccum cleaners;recoms;5;4;-1000;0;0;actual;not mentioned;not mentioned;somehow;2020
Impact of Algorithmic Decision Making on Human Behavior: Evidence from Ultimatum Bargaining;https://ojs.aaai.org/index.php/HCOMP/article/view/7462;ultimatum bargaining game;regression;3;3;0;0;0;actual;not mentioned;not mentioned;no;2020
ViCE: visual counterfactual explanations for machine learning models;https://doi.org/10.1145/3377325.3377536;getting credit line from the bank;binary;50;-1;-1000;1;1;proxy;high;not mentioned;no;2020
The effect of explanations and algorithmic accuracy on visual recommender systems of artistic images;https://doi.org/10.1145/3301275.3302274;artistic image recommendation;recoms;7;30;0;1;1;actual;not mentioned;not mentioned;somehow;2019
“At the End of the Day Facebook Does What It Wants”: How Users Experience Contesting Algorithmic Content Moderation;https://doi.org/10.1145/3415238;a scenario where participants’ Facebook account has been suspended. Experimental conditions vary whether and how they can appeal the decision.;binary;2;1;0;0;0;actual;not mentioned;not mentioned;somehow;2020
Introducing Gamettes: A Playful Approach for Capturing Decision-Making for Informing Behavioral Models;https://doi.org/10.1145/3313831.3376571;modeling human behavior and decision-making in a drug delivery supply chain network;regression;5;20;0;1;1;actual;not mentioned;students of the field;yes;2020
Space, Time, and Choice: A Unified Approach to Flexible Personal Scheduling;https://doi.org/10.1145/3472749.3474764;plan out a route for urban art festival;recoms;7;3;-1000;0;0;actual;not mentioned;people with different occupation;somehow;2021
Can Computers Outperform Humans in Detecting User Zone-Outs? Implications for Intelligent Interfaces;https://doi.org/10.1145/3481889;providing judgment about whether a person in each video was mind wandering or not ;binary;1;10;0;0;0;actual;not mentioned;not mentioned;no;2022
Not Just a Preference: Reducing Biased Decision-making on Dating Websites;https://doi.org/10.1145/3491102.3517587;interacting with profiles in dating simulation task;binary;5;60;30;0;0;actual;not mentioned;us residents;yes;2022
Increasing the Speed and Accuracy of Data Labeling Through an AI Assisted Interface;https://doi.org/10.1145/3397481.3450698;data labeling task = consumer telecommuni- cation service;recoms;21;79;0;0;1;actual;not mentioned;not mentioned;somehow;2021
IRF: A Framework for Enabling Users to Interact with Recommenders through Dialogue;https://doi.org/10.1145/3449237;study1: movie recommendaiton, study2: job recommendation;recoms;4;1;-1000;0;0;actual;not mentioned;people with different occupation;yes;2021
Soliciting Human-in-the-Loop User Feedback for Interactive Machine Learning Reduces User Trust and Impressions of Model Accuracy;https://www.cise.ufl.edu/~eragan/papers/Honeycutt_HCOMP2020.pdf;image classification - detection of human faces;binary;4;90;0;0;0;proxy;not mentioned;non experts - no prior knowledge required;no;2020
The Role of Domain Expertise in User Trust and the Impact of First Impressions with Intelligent Systems;https://arxiv.org/pdf/2008.09100.pdf;image classification - entomology—the study of insects and other terrestrial arthropods;binary;3;40;0;0;1;proxy;not mentioned;expertise studied as a variable;no;2020
On the Bayesian Rational Assumption in Information Design;https://chienjuho.com/pub/HCOMP21_BehaviroalInfoDesign.pdf;ball selection from urn with different change;binary;3;20;0;0;0;actual;not mentioned;not mentioned;no;2021
Effects of Proactive Dialogue Strategies on Human-Computer Trust;https://dl.acm.org/doi/10.1145/3340631.3394840;two planning tasks: building of a wooden nesting box and the assembly of a wall candle holder made from copper tubes.;multi;6;10;10;0;0;actual;not mentioned;not mentioned;somehow;2020
Exploring the Effects of Natural Language Justifications in Food Recommender Systems;https://dl.acm.org/doi/10.1145/3450613.3456827;food recommendation;recoms;9;3;0;0;0;actual;not mentioned;people with different cooking skill;yes;2021
Relationship between Device Performance, Trust and User Behaviour in a Care-taking Scenario;https://dl.acm.org/doi/10.1145/3320435.3320440;monitioring task(care-taking) + administration task(one-back memory card game);binary;15;130;390;1;0;actual;high-low;not mentioned;yes;2019
The challenges of providing explanations of AI systems when they do not behave like users expect;https://dl.acm.org/doi/10.1145/3503252.3531306;text classification;multi;4;15;0;0;0;actual;not mentioned;not mentioned;no;2022
Second Chance for a First Impression? Trust Development in Intelligent System Interaction;https://dl.acm.org/doi/10.1145/3450613.3456817;house searching ;multi;5;2;2;0;0;actual;not mentioned;not mentioned;somehow;2021
What's in a User? Towards Personalising Transparency for Music Recommender Interfaces;https://dl.acm.org/doi/10.1145/3340631.3394844;music recommendation;recoms;23;5;-1000;0;0;actual;not mentioned;not mentioned;somehow;2020
Understanding the Role of Explanation Modality in AI-assisted Decision-making;https://dl.acm.org/doi/10.1145/3503252.3531311;credibility assessment of text;multi;6;4;0;0;0;actual;not mentioned;not mentioned;no;2022
Who Goes First? Influences of Human-AI Workflow on Decision Making in Clinical Imaging;https://dl.acm.org/doi/10.1145/3531146.3533193;clinical image classification;binary;6;240;0;1;1;actual;high;radiologist;no;2022
On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection;https://dl.acm.org/doi/10.1145/3287560.3287590;deception detection;binary ;4;20;0;1;0;actual;high;not mentioned;yes;2019
It’s Just Not That Simple: An Empirical Study of the Accuracy-Explainability Trade-off in Machine Learning for Public Policy;https://dl.acm.org/doi/10.1145/3531146.3533090;house and eduction;binary;10;4;0;1;1;proxy;high;expert in education and real state;no;2022
A User Study on Groups Interacting with Tourist Trip Recommender Systems in Public Spaces;https://dl.acm.org/doi/10.1145/3320435.3320449;POI recommendation for tourist group;recoms;51;12;0;0;0;actual;not mentioned;not mentioned;yes;2019
Evaluating Visual Explanations for Similarity-Based Recommendations: User Perception and Performance;https://dl.acm.org/doi/10.1145/3320435.3320465;attendee component recommeder - conference navigator;recoms;12;30;0;0;0;actual;not mentioned;non experts - no prior knowledge required;no;2019
Using Explanations as Energy-Saving Frames: A User-Centric Recommender Study;https://dl.acm.org/doi/10.1145/3450614.3464477;energy-saving measure recommendation;recoms;9;20;0;0;0;actual;not mentioned;different level of expertise;somehow;2021
Factors Influencing Perceived Fairness in Algorithmic Decision-Making: Algorithm Outcomes, Development Procedures, and Individual Differences;https://dl.acm.org/doi/10.1145/3313831.3376813;master crowd worker qualification ;binary;8;1;0;1;0;proxy;not mentioned;crowdworkers - laypeople;no;2020
FlexNav: Flexible Navigation and Exploration through Connected Runnable Zones;https://dl.acm.org/doi/10.1145/3491102.3502051;running zone recommendation;multi;9;-1;-1000;0;0;actual;not mentioned;people with different habit of running;yes;2022
Showing Academic Performance Predictions during Term Planning: Effects on Students’ Decisions, Behaviors, and Preferences;https://dl.acm.org/doi/10.1145/3411764.3445718;academic performance predictions - course recommendation;recoms;27;5;-1000;1;1;actual;high;students from different curricula - All have had prior academic advising and were at different stages of their degree;yes;2021
To Trust or to Stockpile: Modeling Human-Simulation Interaction in Supply Chain Shortages;https://dl.acm.org/doi/10.1145/3491102.3502089;drug shortage prediction in supply chain;binary;15;70;0;1;0;actual;high;at least undergrad crowdworkers;yes;2022
When Confidence Meets Accuracy: Exploring the Effects of Multiple Performance Indicators on Trust in Machine Learning Models;https://dl.acm.org/doi/10.1145/3491102.3501967;speed dating event prediction;binay;24;80;0;0;0;actual;low;laypeople;somehow;2022
A Hybrid Approach to Identifying Unknown Unknowns of Predictive Models;https://ojs.aaai.org/index.php/HCOMP/article/view/5274;data labeling;multi;5;10;0;0;0;actual;not mentioned;crowd workers;somehow;2019
Algorithmic Risk Assessments Can Alter Human Decision-Making Processes in High-Stakes Government Contexts;https://dl.acm.org/doi/10.1145/3479562;pretrial setting and a home improvement loans setting;binary;14;40;0;1;1;actual;high;laypeople;somehow;2021
Human Evaluation of Models Built for Interpretability;https://ojs.aaai.org/index.php/HCOMP/article/view/5280;a low-risk recipe recommendation domain, and a high-risk clinical domain (drug recommendation);recoms;21;33;0;1;1;actual;high-low;laypeople;somehow;2019
Human-AI Collaboration for UX Evaluation: Effects of Explanation and Synchronization;https://dl.acm.org/doi/10.1145/3512943;usability test video evaluation in UX domain;recoms;9;2;0;0;1;actual;not metioned;ux/hci expert;yes;2022
Local Decision Pitfalls in Interactive Machine Learning: An Investigation into Feature Selection in Sentiment Analysis;https://dl.acm.org/doi/10.1145/3319616;sentiment analysis of movie reviews;binary;5;56;0;0;0;actual;not mentioned;people with different level in one study, cs people in another study;no;2019
“Rather Solve the Problem from Scratch”: Gamesploring Human-Machine Collaboration for Optimizing the Debris Collection Problem;https://dl.acm.org/doi/10.1145/3490099.3511163;assigning contractors to road segments for clearing debris in a disaster area;multi;13;3;-1000;1;1;actual;not mentioned;students with a background in math, engineering, and optimization problem;somehow;2022
RECAST: Enabling User Recourse and Interpretability of Toxicity Detection Models with Interactive Visualization;https://dl.acm.org/doi/10.1145/3449280;toxicity detection in the content moderation setting;binary;6;8;0;0;0;actual;not mentioned;not mentioned;yes;2021
S(C)ENTINEL: monitoring automated vehicles with olfactory reliability displays;https://dl.acm.org/doi/10.1145/3301275.3302332;automated driving scenario;binary;6;24;0;1;1;actual;not mentioned;not mentioned;yes;2019
The Effects of Meaningful and Meaningless Explanations on Trust and Perceived System Accuracy in Intelligent Systems;https://ojs.aaai.org/index.php/HCOMP/article/view/5284;image classification between images of cats and dogs;binary;4;90;0;0;0;proxy;not mentioned;students with different level of background in ML ;no;2019
The Impact of Algorithmic Risk Assessments on Human Predictions and its Analysis via Crowdsourcing Studies;https://dl.acm.org/doi/10.1145/3479572;recidivism prediction = predicting future re-arrests;binary-multi;11;80;0;1;1;actual;high;not mentioned;somehow;2021
Understanding the Effects of Explanation Types and User Motivations on Recommender System Use;https://ojs.aaai.org/index.php/HCOMP/article/view/7466;movie recommendationon;recoms;4;15;0;0;0;actual;not mentioned;not mentioned;somehow;2020
WeBuildAI: Participatory Framework for Algorithmic Governance;https://dl.acm.org/doi/10.1145/3359283;on-demand food donation matching - recommend recipient organizations;recoms;21;412;0;1;1;actual;not mentioned;people with different role in this context;yes;2019
